Title,Title_URL,Image,arow,asizemini,aoffscreen,arow2,acolumn,Field1,Text,Text1,Field2
"msi Vector 16 HX AI 16"" 240Hz QHD+ Gaming Laptop, AMD Ryzen 9 8940HX, NVIDIA Geforce RTX 5070Ti 12GB GDDR7, 32GB DDR5 RAM, 1TB SSD, Thunderbolt 4, Wi-Fi 7, RGB Backlit, Win 11, w/1TB Portable HDD",https://www.amazon.com/msi-Geforce-Thunderbolt-Backlit-Portable/dp/B0H5BJP95X/ref=sr_1_8?crid=3LC9VL11Q1Y6Z&dib=eyJ2IjoiMSJ9.U2f6tF7U4FXBlufzzxuXjnv_GdNqW7CiSoYDvSuongDXJWA625NT4G_HcCMR46-_8bO8rQDLwftxYPs9ljScRM_SbL8_cN8VvuCkUgnOvSOoHzDcdKKiOcdz1oG0PnxfJTbvu8TzfUsLExe1ajxbM3g_sTV4ZqFymj-480Or8qxXeNsikJI5RdR6NG_pfV_r6WfgdZpalTD-kYdJcPz9f5qE1Z09Dq84ivovAw8Fsr4.ve32C26LJDBbbUmFYHkl1TTlVlSujzPtZELPqGRBN1w&dib_tag=se&keywords=gaming+laptops&qid=1789819786&sprefix=%2Caps%2C392&sr=8-8,https://m.media-amazon.com/images/I/71g-84s1JqL._AC_UY218_.jpg,5.0,(9),,,,,,,"msi
Vector A16 HX
16 inches
Gray
1 TB
Ryzen 9
32 GB
Windows 11 Home
Backlit Keyboard, Memory Card Slot
Dedicated"
"ASUS ROG Strix G16 (2025) Gaming Laptop, 16” ROG Nebula 16:10 2.5K 240Hz/3ms, NVIDIA® GeForce RTX™ 5070 Ti, Intel® Core™ Ultra 9 Processor 275HX, 32GB DDR5, 1TB SSD, Wi-Fi 7, Win11 Home, G615LR-AS96",https://www.amazon.com/ASUS-Gaming-Laptop-Nebula-Display/dp/B0DW1X5YCQ/ref=sr_1_9?crid=3LC9VL11Q1Y6Z&dib=eyJ2IjoiMSJ9.U2f6tF7U4FXBlufzzxuXjnv_GdNqW7CiSoYDvSuongDXJWA625NT4G_HcCMR46-_8bO8rQDLwftxYPs9ljScRM_SbL8_cN8VvuCkUgnOvSOoHzDcdKKiOcdz1oG0PnxfJTbvu8TzfUsLExe1ajxbM3g_sTV4ZqFymj-480Or8qxXeNsikJI5RdR6NG_pfV_r6WfgdZpalTD-kYdJcPz9f5qE1Z09Dq84ivovAw8Fsr4.ve32C26LJDBbbUmFYHkl1TTlVlSujzPtZELPqGRBN1w&dib_tag=se&keywords=gaming+laptops&qid=1789819786&sprefix=%2Caps%2C392&sr=8-9,https://m.media-amazon.com/images/I/71WH7jtyWpL._AC_UY218_.jpg,4.3,(225),"PKR 706,513.53","PKR 25,882.60 delivery Tue, Sep 29","Tue, Sep 29",,,,"ASUS
ROG Strix G16
16 inches
Black
1000 GB
Intel Core Ultra 9
32 GB
Windows 11 Home
Backlit Keyboard
Dedicated"
"Razer Blade 16 (2026) Gaming Laptop, RTX 5070 Ti, 32GB DDR5, 1TB, Black",https://www.amazon.com/Razer-Blade-Gaming-Laptop-Black/dp/B0H31TTZJT/ref=sr_1_10?crid=3LC9VL11Q1Y6Z&dib=eyJ2IjoiMSJ9.U2f6tF7U4FXBlufzzxuXjnv_GdNqW7CiSoYDvSuongDXJWA625NT4G_HcCMR46-_8bO8rQDLwftxYPs9ljScRM_SbL8_cN8VvuCkUgnOvSOoHzDcdKKiOcdz1oG0PnxfJTbvu8TzfUsLExe1ajxbM3g_sTV4ZqFymj-480Or8qxXeNsikJI5RdR6NG_pfV_r6WfgdZpalTD-kYdJcPz9f5qE1Z09Dq84ivovAw8Fsr4.ve32C26LJDBbbUmFYHkl1TTlVlSujzPtZELPqGRBN1w&dib_tag=se&keywords=gaming+laptops&qid=1789819786&sprefix=%2Caps%2C392&sr=8-10,https://m.media-amazon.com/images/I/719SQ1o+TSL._AC_UY218_.jpg,5.0,(2),"PKR 970,109.73","PKR 24,225.10 delivery Sep 28 - 29",Sep 28 - 29,,,,"Razer
Blade 16
16 inches
Black
1 TB
Core i9
32 GB
Windows 11 Home
Intel NPU, Vapor Chamber Cooling, Windows Hello, Wi-Fi 7, 90 WHr, CNC Milled Aluminum, THX Spatial Audio, Pluton Security Processor, Kensington Security Slot, TPM 2.0, Anodized Black Finish, Thunderbolt 5 and Thunderbolt 4 Ready
Intel NPU, Vapor Chamber Cooling, Windows Hello, Wi-Fi 7, 90 WHr, CNC Milled Aluminum, THX Spatial Audio, Pluton Security Processor, Kensington Security Slot, T… 
RTX 5070 Ti"
"ASUS ROG Strix G16 Gaming Laptop, 16” 16:10 FHD+ 165Hz/3ms, NVIDIA GeForce RTX 5050 Laptop GPU, Intel Core i5 Processor 14450HX, 16GB DDR5-5600, 512GB PCIe Gen 4 SSD, Wi-Fi 7, Win11 Home, G615JHR-DS53",https://www.amazon.com/ASUS-ROG-Strix-Gaming-Laptop/dp/B0H42CV8H7/ref=sr_1_11?crid=3LC9VL11Q1Y6Z&dib=eyJ2IjoiMSJ9.U2f6tF7U4FXBlufzzxuXjnv_GdNqW7CiSoYDvSuongDXJWA625NT4G_HcCMR46-_8bO8rQDLwftxYPs9ljScRM_SbL8_cN8VvuCkUgnOvSOoHzDcdKKiOcdz1oG0PnxfJTbvu8TzfUsLExe1ajxbM3g_sTV4ZqFymj-480Or8qxXeNsikJI5RdR6NG_pfV_r6WfgdZpalTD-kYdJcPz9f5qE1Z09Dq84ivovAw8Fsr4.ve32C26LJDBbbUmFYHkl1TTlVlSujzPtZELPqGRBN1w&dib_tag=se&keywords=gaming+laptops&qid=1789819786&sprefix=%2Caps%2C392&sr=8-11,https://m.media-amazon.com/images/I/81MIF+hN13L._AC_UY218_.jpg,,,"PKR 360,324.73","PKR 27,434.78 delivery Tue, Sep 29","Tue, Sep 29",,,,"ASUS
G615JHR-DS53
16 inches
Eclipse Gray
512 GB
Core i5
16 GB
Windows 11 Home
Anti Glare Coating, Backlit Keyboard, Wifi
Dedicated"
"MALLRACE Gaming Laptop,16GB RAM 512GB SSD Laptop Computer with Numeric KB,AMD Ryzen 5 7430U (Beat Intel i7-1255,up to 4.3GHz), Radeon Graphics,15.6inch FHD Display AMD Laptop,Type_C,WiFi 6",https://www.amazon.com/MALLRACE-Computer-Numeric-Graphics-15-6inch/dp/B0HFQSZZ26/ref=sr_1_12?crid=3LC9VL11Q1Y6Z&dib=eyJ2IjoiMSJ9.U2f6tF7U4FXBlufzzxuXjnv_GdNqW7CiSoYDvSuongDXJWA625NT4G_HcCMR46-_8bO8rQDLwftxYPs9ljScRM_SbL8_cN8VvuCkUgnOvSOoHzDcdKKiOcdz1oG0PnxfJTbvu8TzfUsLExe1ajxbM3g_sTV4ZqFymj-480Or8qxXeNsikJI5RdR6NG_pfV_r6WfgdZpalTD-kYdJcPz9f5qE1Z09Dq84ivovAw8Fsr4.ve32C26LJDBbbUmFYHkl1TTlVlSujzPtZELPqGRBN1w&dib_tag=se&keywords=gaming+laptops&qid=1789819786&sprefix=%2Caps%2C392&sr=8-12,https://m.media-amazon.com/images/I/71+KUy76p5L._AC_UY218_.jpg,4.5,(20),"PKR 138,584.73","PKR 18,415.51 delivery Tue, Sep 29","Tue, Sep 29","PKR235,595.98",,,"MALLRACE
LX15PRO
15.6 inches
Matte Grey
512 GB
Ryzen 5
16 GB
Windows 11 Pro
Lightweight, Numeric Keypad
AMD Radeon™ Graphics"
"KAIGERR Gaming Laptop with AMD Ryzen 7430U(Up to 4.3GHz), 16GB DDR4 512GB SSD Laptop Computer, 1920P FHD Display, WiFi 6, USB3.2, Type_C, Webcam Cover Slide",https://www.amazon.com/KAIGERR-Gaming-Laptop-Computer-Display/dp/B0H93H8V7J/ref=sr_1_13?crid=3LC9VL11Q1Y6Z&dib=eyJ2IjoiMSJ9.U2f6tF7U4FXBlufzzxuXjnv_GdNqW7CiSoYDvSuongDXJWA625NT4G_HcCMR46-_8bO8rQDLwftxYPs9ljScRM_SbL8_cN8VvuCkUgnOvSOoHzDcdKKiOcdz1oG0PnxfJTbvu8TzfUsLExe1ajxbM3g_sTV4ZqFymj-480Or8qxXeNsikJI5RdR6NG_pfV_r6WfgdZpalTD-kYdJcPz9f5qE1Z09Dq84ivovAw8Fsr4.ve32C26LJDBbbUmFYHkl1TTlVlSujzPtZELPqGRBN1w&dib_tag=se&keywords=gaming+laptops&qid=1789819786&sprefix=%2Caps%2C392&sr=8-13,https://m.media-amazon.com/images/I/71yhKclypqL._AC_UY218_.jpg,5.0,(13),"PKR 260,541.73","PKR 18,759.20 delivery Tue, Sep 29","Tue, Sep 29",,,,"KAIGERR
LX16PRO
16 inches
Sophisticated Grey
512 GB
AMD R Series
16 GB
Windows 11
Lightweight, Numeric Keypad
Integrated"
"NIMO 15.6"" IPS FHD-Light Gaming-Laptop,AMD Ryzen 5 6600H 16GB DDR5 RAM 256GB SSD (Beat i5-1335U, 6 Cores Up to 4.5GHz) AMD Radeon 660M GPU-Computer with 100W Type-C Backlit Keyboard Fingerprint",https://www.amazon.com/NIMO-FHD-Light-Gaming-Laptop-GPU-Computer-Fingerprint/dp/B0GMWSZFR2/ref=sr_1_14?crid=3LC9VL11Q1Y6Z&dib=eyJ2IjoiMSJ9.U2f6tF7U4FXBlufzzxuXjnv_GdNqW7CiSoYDvSuongDXJWA625NT4G_HcCMR46-_8bO8rQDLwftxYPs9ljScRM_SbL8_cN8VvuCkUgnOvSOoHzDcdKKiOcdz1oG0PnxfJTbvu8TzfUsLExe1ajxbM3g_sTV4ZqFymj-480Or8qxXeNsikJI5RdR6NG_pfV_r6WfgdZpalTD-kYdJcPz9f5qE1Z09Dq84ivovAw8Fsr4.ve32C26LJDBbbUmFYHkl1TTlVlSujzPtZELPqGRBN1w&dib_tag=se&keywords=gaming+laptops&qid=1789819786&sprefix=%2Caps%2C392&sr=8-14,https://m.media-amazon.com/images/I/71x6QOG+e8L._AC_UY218_.jpg,4.4,(18),,,,,,,"NIMO
NIMO N153
15.6 inches
Gray
256 GB
Ryzen 5
16 GB
Windows 11
Backlit Keyboard, Fingerprint Reader, HD Audio, Numeric Keypad
Dedicated"
,,,,,,,,,,,
,,,,,,,,,,,
"Acer Nitro V Gaming Laptop | Intel Core 5 Processor 210H | NVIDIA GeForce RTX 5050 Laptop GPU | 16"" WUXGA IPS 165Hz Display | 8GB DDR5 | 512GB Gen 4 SSD | Wi-Fi 6 | Backlit Keyboard | ANV16-I31-54PT",https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMDM2NjU2NzcwMzIwNDU2OjE3ODk4MTk4ODc6c3BfYXRmX25leHQ6MzAxMzUxMjExOTI2ODAyOjowOjo&url=%2FAcer-Processor-GeForce-Keyboard-ANV16-I31-54PT%2Fdp%2FB0CJCNL315%2Fref%3Dsr_1_17_sspa%3Fcrid%3D3LC9VL11Q1Y6Z%26dib%3DeyJ2IjoiMSJ9.ugoRDgk6CPUHAO-vuB2wI78pO390UDdb6RIU-aabDt5oU4otZYiGUnN6i_3bTOJjtcS38F6V6MAp5orniGxaedyNOGAYlDK7d99c9ucqP2kacaNCFHiHGfY9UEeOjwzul9iF8cSC9UucU8Gs5GLNy7FQ0V8OzIpdhNU--RElP62tW8GL2hHkxWv1CovRPUE2ikPC0MLd9pFvg58mnuxLOGLRhpXKRp64sVad5ICo7pE.-xmc_AxVrBglQX_RvSgqSLCabFYrz8FXomxgbbeGO4o%26dib_tag%3Dse%26keywords%3Dgaming%2Blaptops%26qid%3D1789819887%26sprefix%3D%252Caps%252C392%26sr%3D8-17-spons%26xpid%3DMMcXVFo9VX50C%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,https://m.media-amazon.com/images/I/71iSm+PbylL._AC_UY218_.jpg,3.7,(4),"PKR 374,183.48","PKR 20,488.78 delivery Tue, Sep 29","Tue, Sep 29",,,,
